"Dealer ID",Code,"Total Point before this ","Membership Level","Subgroup ID","Subgroup Name",Quantity,Point,"Offer Point","Item Point","Item Point Should Membership Wise","Original Point Should Be","Amount Difference","Pay Status",Date
5445,DPU-1114-24/2022,0,NCF,51,"SALT SEAL",1,3,0,3,3,3,0,"Payment Ok","2022-03-01 18:29:10"
5445,DPU-1114-25/2022,3,NCF,2,"MASTER COAT",18,27,0,1.5,1.5,27,0,"Payment Ok","2022-03-01 18:43:15"
5445,DPU-1114-26/2022,30,NCF,1,"SMOOTH EXTERIOR",1,1,0,1,1,1,0,"Payment Ok","2022-03-01 19:02:10"
5445,DPU-1114-30/2022,31,NCF,1,"SMOOTH EXTERIOR",13,13,0,1,1,13,0,"Payment Ok","2022-03-02 10:52:35"
5445,DPU-1114-30/2022,31,NCF,239,"THINNER T-1 GENERAL PURPOSE THINNER",2,0,0,0,0,0,0,"Payment Ok","2022-03-02 10:52:35"
5445,DPU-1114-34/2022,44,NCF,3,"ACLOSE SEALER",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,2,"MASTER COAT",228,342,0,1.5,1.5,342,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,1,"SMOOTH EXTERIOR",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,29,"SILK DE LUXE",82.8,342,0,4.1304347826087,1.5,124.2,217.8,"Over Paid","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,43,"WALL PUTTY",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,45,"WALLELITE WATER SEALER-INTERIOR",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,26,"REBELITE SPD",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,19,"LUCKY SEVEN SYN. ENAMEL",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,35,"SYNTHETIC UNDERCOAT",228,228,0,1,1,228,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-34/2022,44,NCF,239,"THINNER T-1 GENERAL PURPOSE THINNER",2,0,0,0,0,0,0,"Payment Ok","2022-03-02 18:59:54"
5445,DPU-1114-35/2022,2106.2,NCF,21,"PLASTELITE PLASTIC EMULSION",118.3,118.3,0,1,1,118.3,0,"Payment Ok","2022-03-02 19:40:23"
5445,DPU-1114-35/2022,2106.2,NCF,50,"ILLUMINA TOP COAT",4.55,36.4,0,8,8,36.4,0,"Payment Ok","2022-03-02 19:40:23"
5445,DPU-1114-35/2022,2106.2,NCF,22,"PLASTELITE WALL SEALER",10,10,0,1,1,10,0,"Payment Ok","2022-03-02 19:40:23"
5445,DPU-1114-36/2022,2270.9,NCF,21,"PLASTELITE PLASTIC EMULSION",116.48,116.48,0,1,1,116.48,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,26,"REBELITE SPD",116.48,116.48,0,1,1,116.48,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,333,"ACTIVE INTERIOR SEALER",116.48,116.48,0,1,1,116.48,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,1,"SMOOTH EXTERIOR",116.48,116.48,0,1,1,116.48,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,24,"QUICK DRYING ENAMEL",116.48,116.48,0,1,1,116.48,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,239,"THINNER T-1 GENERAL PURPOSE THINNER",116.48,0,0,0,0,0,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,183,"ELITE MARINE ENAMEL",116.48,116.48,0,1,1,116.48,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-36/2022,2270.9,NCF,184,"ELITE MARINE RED LEAD PRIMER",3.64,3.64,0,1,1,3.64,0,"Payment Ok","2022-03-02 19:53:39"
5445,DPU-1114-37/2022,2973.42,NCF,225,"SILK DE LUXE PASTEL BASE",10.92,16.38,0,1.5,1.5,16.38,0,"Payment Ok","2022-03-02 19:57:08"
5445,DPU-1114-38/2022,2989.8,NCF,26,"REBELITE SPD",34.58,34.58,0,1,1,34.58,0,"Payment Ok","2022-03-02 20:22:45"
5445,DPU-1114-40/2022,3024.38,NCF,19,"LUCKY SEVEN SYN. ENAMEL",54.6,54.6,0,1,1,54.6,0,"Payment Ok","2022-03-02 23:48:29"
5445,DPU-1114-40/2022,3024.38,NCF,184,"ELITE MARINE RED LEAD PRIMER",40.04,40.04,0,1,1,40.04,0,"Payment Ok","2022-03-02 23:48:29"
5445,DPU-1114-40/2022,3024.38,NCF,239,"THINNER T-1 GENERAL PURPOSE THINNER",16,0,0,0,0,0,0,"Payment Ok","2022-03-02 23:48:29"
5445,DPU-1114-40/2022,3024.38,NCF,1,"SMOOTH EXTERIOR",99.18,99.18,0,1,1,99.18,0,"Payment Ok","2022-03-02 23:48:29"
